ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2675-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,13,1810,6212,1810
4,14,2620,6212,2620
4,14,2620,6212,2620
4,14,3090,6212,3090
4,14,3410,6212,3410
4,14,4410,6212,4410
4,14,5410,6212,5410
5,15,6220,6212,6220
6,16,6770,6212,6770
7,17,7580,6212,7580
8,18,8390,6212,8390
8,18,8440,6212,8440
9,19,9250,6212,9250
10,20,9480,6212,9480
11,21,10290,6212,10290
11,21,10760,6212,10760
12,23,10760,6212,10760
13,24,11570,6212,11570
14,25,12380,6212,12380
15,26,13190,6212,13190
16,27,14190,6212,14190
16,27,15190,6212,15190
16,27,15350,6212,15350
16,27,16000,6212,16000
17,28,16470,6212,16470
17,28,16790,6212,16790
18,29,17790,6212,17790
18,29,18020,6212,18020
19,30,18830,6212,18830
20,31,19640,6212,19640
20,31,19640,6212,19640
21,39,20290,6212,20290
21,39,21290,6212,21290
21,39,21610,6212,21610
21,39,22610,6212,22610
22,40,23420,6212,23420
22,40,23420,6212,23420
22,40,24070,6212,24070
23,41,24880,6212,24880
24,42,25880,6212,25880
24,42,26530,6212,26530
25,50,27000,6212,27000
25,50,27110,6212,27110
25,50,27580,6212,27580
26,51,28580,6212,28580
27,52,29390,6212,29390
27,52,29940,6212,29940
27,52,30590,6212,30590
27,52,30750,6212,30750
27,52,31220,6212,31220
27,52,32220,6212,32220
28,60,32220,6212,32220
28,60,32220,6212,32220
28,60,32220,6212,32220
28,60,32870,6212,32870
28,60,33870,6212,33870
28,60,34870,6212,34870
29,62,35680,6212,35680
30,70,35680,6212,35680
30,70,35680,6212,35680
30,70,36680,6212,36680
30,70,36680,6212,36680
30,70,37490,6212,37490
31,72,38300,6212,38300
31,72,38770,6212,38770
31,72,39580,6212,39580
31,72,40050,6212,40050
